,Net Metrekare
0,95
1,90
2,100
3,95
4,125
5,60
6,100
7,95
8,115
9,125
10,80
11,130
12,85
13,90
14,35
15,95
16,140
17,90
18,135
19,200
20,140
21,80
22,90
23,60
24,55
25,110
26,90
27,55
28,115
29,115
30,105
31,35
32,90
33,60
34,80
35,110
36,90
37,100
38,35
39,90
40,90
41,84
42,120
43,35
44,85
45,180
46,130
47,60
48,20
49,20
50,85
51,130
52,250
53,45
54,165
55,95
56,80
57,128
58,110
59,80
60,80
61,90
62,160
63,80
64,130
65,100
66,145
67,100
68,150
69,100
70,35
71,60
72,35
73,150
74,80
75,125
76,95
77,90
78,90
79,70
80,35
81,80
82,45
83,45
84,140
85,85
86,125
87,135
88,105
89,120
90,120
91,95
92,130
93,80
94,80
95,90
96,95
97,50
98,35
99,60
100,150
101,75
102,100
103,110
104,35
105,80
106,70
107,85
108,75
109,80
110,70
111,90
112,85
113,130
114,90
115,110
116,120
117,90
118,85
119,80
120,80
121,100
122,80
123,100
124,100
125,95
126,90
127,100
128,100
129,180
130,100
131,100
132,70
133,60
134,94
135,100
136,70
137,130
138,90
139,90
140,52
141,120
142,80
143,92
144,120
145,80
146,120
147,35
148,95
149,120
150,120
151,115
152,86
153,90
154,60
155,85
156,130
157,90
158,80
159,103
160,95
161,120
162,120
163,75
164,100
165,95
166,180
167,70
168,160
169,70
170,70
171,120
172,60
173,100
174,150
175,140
176,135
177,110
178,125
179,150
180,70
181,110
182,80
183,75
184,80
185,110
186,120
187,125
188,130
189,85
190,100
191,60
192,85
193,115
194,95
195,149
196,100
197,100
198,120
199,38
200,110
201,70
202,120
203,50
204,90
205,70
206,75
207,45
208,100
209,65
210,100
211,65
212,45
213,80
214,60
215,80
216,80
217,120
218,75
219,145
220,80
221,110
222,135
223,125
224,120
225,155
226,125
227,125
228,70
229,60
230,135
231,85
232,130
233,125
234,110
235,20
236,120
237,20
238,130
239,85
240,100
241,75
242,90
243,125
244,75
245,110
246,90
247,130
248,200
249,80
250,130
251,130
252,110
253,108
254,40
255,85
256,90
257,90
258,135
259,95
260,140
261,80
262,55
263,115
264,85
265,95
266,80
267,30
268,60
269,65
270,65
271,70
272,57
273,70
274,170
275,92
276,110
277,70
278,145
279,85
280,82
281,80
282,80
283,85
284,110
285,110
286,70
287,95
288,85
289,70
290,75
291,90
292,100
293,90
294,100
295,70
296,70
297,150
298,80
299,85
300,70
301,150
302,80
303,85
304,80
305,110
306,115
307,120
308,125
309,100
310,80
311,120
312,80
313,110
314,140
315,110
316,80
317,110
318,50
319,100
320,50
321,45
322,120
323,100
324,110
325,60
326,20
327,95
328,30
329,80
330,80
331,20
332,114
333,107
334,114
335,20
336,80
337,20
338,80
339,100
340,80
341,50
342,110
343,110
344,115
345,95
346,75
347,45
348,90
349,100
350,35
351,100
352,60
353,60
354,65
355,125
356,110
357,100
358,70
359,150
360,130
361,70
362,25
363,105
364,70
365,200
366,50
367,85
368,80
369,65
370,85
371,90
372,95
373,140
374,100
375,110
376,85
377,70
378,55
379,70
380,95
381,100
382,135
383,100
384,200
385,80
386,70
387,80
388,85
389,90
390,100
391,110
392,85
393,70
394,55
395,70
396,95
397,100
398,135
399,100
400,200
401,80
402,70
403,80
404,85
405,90
406,110
407,177
408,230
409,90
410,115
411,85
412,95
413,100
414,85
415,70
416,115
417,65
418,58
419,120
420,120
421,75
422,90
423,60
424,78
425,100
426,190
427,90
428,90
429,75
430,100
431,120
432,45
433,60
434,115
435,70
436,150
437,70
438,100
439,90
440,115
441,80
442,100
443,45
444,75
445,40
446,80
447,70
448,150
449,140
450,75
451,50
452,145
453,20
454,75
455,60
456,85
457,110
458,60
459,30
460,20
461,75
462,90
463,90
464,80
465,110
466,70
467,80
468,40
469,80
470,130
471,80
472,100
473,75
474,90
475,35
476,75
477,90
478,115
479,100
480,100
481,90
482,80
483,75
484,79
485,115
486,150
487,110
488,95
489,175
490,85
491,60
492,60
493,50
494,225
495,75
496,50
497,120
498,165
499,35
500,75
501,65
502,120
503,130
504,90
505,75
506,82
507,50
508,100
509,75
510,82
511,50
512,100
513,120
514,110
515,60
516,100
517,190
518,75
519,30
520,130
521,90
522,75
523,80
524,125
525,30
526,50
527,60
528,167
529,70
530,70
531,80
532,80
533,90
534,78
535,40
536,6
537,75
538,85
539,120
540,80
541,70
542,100
543,110
544,140
545,90
546,90
547,180
548,75
549,95
550,85
551,65
552,90
553,75
554,145
555,80
556,100
557,80
558,90
559,50
560,100
561,100
562,80
563,90
564,70
565,90
566,120
567,115
568,85
569,75
570,280
571,130
572,78
573,100
574,100
575,130
576,98
577,53
578,75
579,78
580,75
581,80
582,65
583,50
584,90
585,150
586,65
587,125
588,90
589,50
590,52
591,96
592,50
593,80
594,80
595,165
596,40
597,45
598,70
599,115
600,90
601,80
602,58
603,120
604,110
605,180
